time_point,simulation,pair_distance_in_cell_diameter,heterogeneity_std,left_cell_fiber_density,left_cell_fiber_density_z_score,right_cell_fiber_density,right_cell_fiber_density_z_score
16,4D_5_heterogeneity,4.0,0.5,400.42826429595954,0.764870934849315,374.3339729494381,-0.7002499021321649
17,4D_5_heterogeneity,4.0,0.5,403.61573406309043,0.9438383691841249,376.1937400310679,-0.5958292276235511
18,4D_5_heterogeneity,4.0,0.5,406.1680091822244,1.087141416164593,377.3456755671667,-0.5311512973289299
19,4D_5_heterogeneity,4.0,0.5,411.92901448850756,1.4106056100799989,382.13724445883855,-0.2621182229374885
20,4D_5_heterogeneity,4.0,0.5,415.7257004976467,1.623778817568055,384.17660663968576,-0.14761379031531102
21,4D_5_heterogeneity,4.0,0.5,421.8128569822485,1.9655554799469666,384.6683263045779,-0.12000511846367908
22,4D_5_heterogeneity,4.0,0.5,426.99408588361547,2.2564668645006374,388.3661816365595,0.08761902534168774
23,4D_5_heterogeneity,4.0,0.5,428.4486076422725,2.3381341574787036,390.2268622398111,0.19209099151196865
24,4D_5_heterogeneity,4.0,0.5,433.33048145756874,2.6122375985464084,392.98050197363034,0.3467000934792654
25,4D_5_heterogeneity,4.0,0.5,434.8727739472821,2.698832970437982,394.4337254620714,0.4282944922476271
26,4D_5_heterogeneity,4.0,0.5,436.9824452123631,2.817285059770665,395.97299136107466,0.5147199296100169
27,4D_5_heterogeneity,4.0,0.5,440.1768785165655,2.9966434770652013,398.65335380882556,0.665214718708247
28,4D_5_heterogeneity,4.0,0.5,442.89268201428723,3.1491281811263323,401.39393363718307,0.8190905438309316
29,4D_5_heterogeneity,4.0,0.5,444.6829122616296,3.2496445585801115,402.8431973330848,0.9004626114203225
30,4D_5_heterogeneity,4.0,0.5,451.40139803807347,3.62686857947094,405.4878857270899,1.0489544030510822
31,4D_5_heterogeneity,4.0,0.5,458.1599991089968,4.006344960965972,407.4897547662978,1.1613537015529178
32,4D_5_heterogeneity,4.0,0.5,461.6159741275675,4.20038820761158,408.7441666849506,1.2317853916022874
33,4D_5_heterogeneity,4.0,0.5,466.923006638445,4.498363109898446,412.6495127347523,1.451059553801391
34,4D_5_heterogeneity,4.0,0.5,471.6586246251954,4.764254698837773,416.5008950590432,1.667303805065681
35,4D_5_heterogeneity,4.0,0.5,476.61624554343524,5.04261112602378,421.4463240349749,1.9449756890892873
36,4D_5_heterogeneity,4.0,0.5,480.76857867302317,5.275752915906447,424.72004210613443,2.1287857223553575
37,4D_5_heterogeneity,4.0,0.5,483.0205885974884,5.402196919370943,428.57361897589107,2.3451531911558834
38,4D_5_heterogeneity,4.0,0.5,487.76131400241104,5.66837527543063,432.3605779239148,2.5577802516061237
39,4D_5_heterogeneity,4.0,0.5,494.0046806813708,6.018922699493143,437.4961027999417,2.8461254840857477
40,4D_5_heterogeneity,4.0,0.5,504.8189119744075,6.626111275452588,444.9753202377491,3.2660624414428066
41,4D_5_heterogeneity,4.0,0.5,512.1711744789512,7.038920071496042,449.9557351762512,3.5456986885557606
42,4D_5_heterogeneity,4.0,0.5,515.506938935801,7.226213834261681,452.8022323348435,3.705521472937222
43,4D_5_heterogeneity,4.0,0.5,521.8917446887534,7.584702663274345,458.6284826139501,4.032648987995268
44,4D_5_heterogeneity,4.0,0.5,527.0792330687774,7.875965499894186,462.2629297299421,4.23671293937201
45,4D_5_heterogeneity,4.0,0.5,529.629678905508,8.019165837828817,463.9938502117519,4.33389924082701
46,4D_5_heterogeneity,4.0,0.5,534.3805327285497,8.285912875989697,467.56086291965374,4.534176940448133
47,4D_5_heterogeneity,4.0,0.5,540.8639020127971,8.649935769198589,469.4728245953358,4.641528194151569
48,4D_5_heterogeneity,4.0,0.5,545.1341148027155,8.889696169424532,471.4782731814391,4.754128474112291
49,4D_5_heterogeneity,4.0,0.5,550.9977261746402,9.218921404434166,479.1695417774627,5.185971505724556
50,4D_5_heterogeneity,4.0,0.5,554.2331909100998,9.400583620828193,486.99740349669395,5.625483855822702
0,4D_9_heterogeneity,4.0,0.5,360.32700041034957,-1.1584082996365632,379.781195197861,0.203737018460454
1,4D_9_heterogeneity,4.0,0.5,361.38592823760445,-1.0842642089737191,379.44267727021264,0.18003464397132227
2,4D_9_heterogeneity,4.0,0.5,361.6093235387882,-1.0686224994649982,379.1128055801359,0.15693766241445856
3,4D_9_heterogeneity,4.0,0.5,361.89417960556887,-1.0486774253082463,378.6849021466938,0.12697668665436282
4,4D_9_heterogeneity,4.0,0.5,362.46798069814133,-1.0085009759458556,378.5062245007297,0.11446602139388874
5,4D_9_heterogeneity,4.0,0.5,363.27687041912657,-0.9518640727827313,378.4272812039423,0.10893856352227883
6,4D_9_heterogeneity,4.0,0.5,363.4634538172866,-0.9387998619524017,378.4602442885177,0.11124657533231895
7,4D_9_heterogeneity,4.0,0.5,364.4662141245807,-0.8685885130544777,378.44755402319385,0.11035802735153206
8,4D_9_heterogeneity,4.0,0.5,366.51383038272525,-0.7252183592261922,378.4109963818337,0.10779833158600077
9,4D_9_heterogeneity,4.0,0.5,367.80326200171066,-0.6349348362127002,378.6117237176949,0.12185287374227272
